language,script,phonemes,vowels,stress_pattern,word_order,sentence_example,case,gender,rhythm
German,Latin,"/p/, /b/, /t/, /d/, /k/","/iː/, /ɪ/, /eː/, /ɛ/, /aː/",Initial syllable for native words,"V2 main clauses, SOV subordinate",Die schwarze Katze schläft auf dem Sofa.,"Nominative, accusative, dative, genitive","Masculine, feminine, neuter",Stress-timed
Japanese,"Mixed (Hiragana, Katakana, Kanji)","/p/, /b/, /t/, /d/, /k/","/a/, /i/, /ɯ/, /e/, /o/",Pitch accent (not stress),SOV,私は日本語を勉強しています。 (I am studying Japanese.),"Particles mark relations (が,を,に,で,へ)",No grammatical gender,Mora-timed
Arabic,Arabic,"/b/, /t/, /θ/, /dʒ/, /ħ/","/a/, /i/, /u/, /aː/, /iː/","Varies by dialect, typically penultimate","VSO (classical), SVO (modern dialects)",الولد يقرأ الكتاب. (The boy reads the book.),"Nominative, accusative, genitive (classical Arabic)","Masculine, feminine",Mora-timed rhythm
Bengali,Bengali,"/p/, /pʰ/, /b/, /bʱ/, /t/","/i/, /e/, /æ/, /a/, /ɔ/",Initial syllable stress typically,SOV (Subject-Object-Verb),আমি বাংলা শিখছি। (I am learning Bengali.),"Nominative, objective, genitive, locative (with postpositions)",No grammatical gender,Stress-timed tendency
Portuguese,Latin,"/p/, /b/, /t/, /d/, /k/","/a/, /ɐ/, /e/, /ɛ/, /i/","Penultimate stress for most words, marked by accent when irregular","SVO (Subject-Verb-Object), flexible",O gato preto dorme no sofá.,No case marking,"Masculine, feminine",Syllable-timed (Brazilian) / stress-timed tendency (European)
Russian,Cyrillic,"/p/, /pʲ/, /b/, /bʲ/, /t/","/a/, /e/, /i/, /o/, /u/","Unpredictable lexical stress, distinctive",SVO (flexible due to case marking),Чёрный кот спит на диване.,"Nominative, genitive, dative, accusative, instrumental, prepositional","Masculine, feminine, neuter",Syllable-timed tendency
Urdu,Nastaliq (Perso-Arabic),"/p/, /pʰ/, /b/, /bʱ/, /t̪/","/ə/, /aː/, /ɪ/, /iː/, /ʊ/",Penultimate syllable stress typically,SOV (Subject-Object-Verb),میں اردو سیکھ رہا ہوں۔ (I am learning Urdu.),"Direct, oblique, vocative (with postpositions)","Masculine, feminine",Mora-timed rhythm
Indonesian,Latin,"/p/, /b/, /t/, /d/, /k/","/i/, /e/, /ə/, /a/, /o/",Penultimate syllable stress typically,SVO (Subject-Verb-Object),Saya sedang belajar bahasa Indonesia.,No case marking,No grammatical gender,Syllable-timed rhythm
German,Latin,"/p/, /b/, /t/, /d/, /k/","/iː/, /ɪ/, /eː/, /ɛ/, /aː/","Initial syllable stress for native words, variable for loans","V2 in main clauses, SOV in subordinate clauses",Die schwarze Katze schläft auf dem Sofa.,"Nominative, accusative, dative, genitive","Masculine, feminine, neuter",Stress-timed rhythm
Japanese,"Mixed (Hiragana, Katakana, Kanji)","/p/, /b/, /t/, /d/, /k/","/a/, /i/, /ɯ/, /e/, /o/",Pitch accent (not stress-based),SOV (Subject-Object-Verb),私は日本語を勉強しています。(I am studying Japanese.),"Particles mark grammatical relations (が, を, に, で, へ, と, から)",No grammatical gender (some gendered speech patterns),Mora-timed rhythm
Swahili,Latin,"/p/, /b/, /t/, /d/, /k/","/a/, /e/, /i/, /o/, /u/",Penultimate syllable stress,SVO (Subject-Verb-Object),Ninajifunza Kiswahili. (I am learning Swahili.),No case marking (word order and agreement),Noun class system (not masculine/feminine),Syllable-timed rhythm
Marathi,Devanagari,"/p/, /pʰ/, /b/, /bʱ/, /t̪/","/ə/, /aː/, /ɪ/, /iː/, /ʊ/",Usually on first syllable of root,SOV (Subject-Object-Verb),मी मराठी शिकत आहे. (I am learning Marathi.),"Nominative, accusative, dative, ablative, genitive, locative, instrumental, vocative","Masculine, feminine, neuter",Mora-timed rhythm
Telugu,Telugu,"/p/, /pʰ/, /b/, /bʱ/, /t̪/","/a/, /aː/, /i/, /iː/, /u/",Initial syllable stress typically,SOV (Subject-Object-Verb),నేను తెలుగు నేర్చుకుంటున్నాను. (I am learning Telugu.),"Nominative, accusative, dative, genitive, locative, instrumental, ablative","Masculine, feminine, neuter",Mora-timed rhythm
Turkish,Latin,"/p/, /b/, /t/, /d/, /k/","/i/, /y/, /ɯ/, /u/, /e/",Final syllable stress (with exceptions for suffixes),SOV (Subject-Object-Verb),Ben Türkçe öğreniyorum. (I am learning Turkish.),"Nominative, accusative, dative, locative, ablative, genitive",No grammatical gender,Syllable-timed rhythm
Tamil,Tamil,"/p/, /b/, /t̪/, /d̪/, /ʈ/","/a/, /aː/, /i/, /iː/, /u/",Initial syllable stress typically,SOV (Subject-Object-Verb),நான் தமிழ் கற்றுக்கொண்டிருக்கிறேன். (I am learning Tamil.),"Nominative, accusative, dative, sociative, genitive, locative, instrumental, ablative","Masculine, feminine, neuter (rational/irrational distinction)",Mora-timed rhythm
Cantonese,Traditional Chinese,"/p/, /pʰ/, /t/, /tʰ/, /k/","/aː/, /ɛː/, /iː/, /ɔː/, /uː/","Tonal language, no stress-based distinctions",SVO (Subject-Verb-Object),我學緊廣東話。(I am learning Cantonese.),No grammatical case,No grammatical gender,Syllable-timed rhythm
Korean,Hangul,"/p/, /p*/, /pʰ/, /t/, /t*/","/a/, /ʌ/, /o/, /u/, /ɯ/",No lexical stress (some pitch patterns),SOV (Subject-Object-Verb),저는 한국어를 배우고 있어요. (I am learning Korean.),"Particles mark grammatical relations (이/가, 을/를, 에, 에서, 로, 와/과)",No grammatical gender,Syllable-timed rhythm
